Date,Food
2015-01-01,1877
2015-01-02,2272
2015-01-03,2759
2015-01-04,2842
2015-01-05,2457
2015-01-06,2418
2015-01-07,2494
2015-01-08,1869
2015-01-09,2281
2015-01-10,2780
2015-01-11,3029
2015-01-12,2592
2015-01-13,2161
2015-01-14,1932
2015-01-15,2366
2015-01-16,2208
2015-01-17,2891
2015-01-18,3041
2015-01-19,2447
2015-01-20,1907
2015-01-21,1874
2015-01-22,1452
2015-01-23,2350
2015-01-24,2724
2015-01-25,3084
2015-01-26,2093
2015-01-27,1939
2015-01-28,2026
2015-01-29,2014
2015-01-30,2247
2015-01-31,3038
2015-02-01,3516
2015-02-02,2309
2015-02-03,2346
2015-02-04,2400
2015-02-05,2074
2015-02-06,2597
2015-02-07,3281
2015-02-08,3623
2015-02-09,2759
2015-02-10,2338
2015-02-11,2399
2015-02-12,2775
2015-02-13,2702
2015-02-14,2732
2015-02-15,3185
2015-02-16,2461
2015-02-17,1976
2015-02-18,1913
2015-02-19,2032
2015-02-20,2198
2015-02-21,2774
2015-02-22,2892
2015-02-23,1976
2015-02-24,1919
2015-02-25,1896
2015-02-26,1764
2015-02-27,1890
2015-02-28,2525
2015-03-01,3163
2015-03-02,2312
2015-03-03,2342
2015-03-04,1878
2015-03-05,1849
2015-03-06,2241
2015-03-07,2740
2015-03-08,2722
2015-03-09,2310
2015-03-10,2358
2015-03-11,2138
2015-03-12,2412
2015-03-13,2699
2015-03-14,2730
2015-03-15,3204
2015-03-16,2650
2015-03-17,2483
2015-03-18,2039
2015-03-19,2015
2015-03-20,2232
2015-03-21,2449
2015-03-22,2915
2015-03-23,2240
2015-03-24,93
2015-03-25,3949
2015-03-26,1919
2015-03-27,2169
2015-03-28,2799
2015-03-29,3031
2015-03-30,2131
2015-03-31,2077
2015-04-01,2533
2015-04-02,2188
2015-04-03,2997
2015-04-04,3301
2015-04-05,3096
2015-04-06,2524
2015-04-07,2294
2015-04-08,2221
2015-04-09,2460
2015-04-10,2224
2015-04-11,3001
2015-04-12,3194
2015-04-13,2696
2015-04-14,2165
2015-04-15,2324
2015-04-16,2120
2015-04-17,1975
2015-04-18,3086
2015-04-19,3013
2015-04-20,2307
2015-04-21,2011
2015-04-22,2029
2015-04-23,2080
2015-04-24,2364
2015-04-25,2770
2015-04-26,2894
2015-04-27,2279
2015-04-28,2025
2015-04-29,1740
2015-04-30,2098
2015-05-01,2527
2015-05-02,2971
2015-05-03,3145
2015-05-04,2304
2015-05-05,2282
2015-05-06,2287
2015-05-07,2491
2015-05-08,2224
2015-05-09,3044
2015-05-10,2473
2015-05-11,2405
2015-05-12,2341
2015-05-13,2311
2015-05-14,2181
2015-05-15,2617
2015-05-16,2841
2015-05-17,2867
2015-05-18,2174
2015-05-19,1903
2015-05-20,1916
2015-05-21,2038
2015-05-22,2348
2015-05-23,2632
2015-05-24,2510
2015-05-25,2607
2015-05-26,1946
2015-05-27,2121
2015-05-28,2005
2015-05-29,2040
2015-05-30,2313
2015-05-31,2878
2015-06-01,2632
2015-06-02,2243
2015-06-03,2366
2015-06-04,2232
2015-06-05,2718
2015-06-06,3072
2015-06-07,3335
2015-06-08,2551
2015-06-09,2512
2015-06-10,2244
2015-06-11,2639
2015-06-12,2723
2015-06-13,2934
2015-06-14,3045
2015-06-15,5251
2015-06-16,1507
2015-06-17,1591
2015-06-18,2050
2015-06-19,2285
2015-06-20,2777
2015-06-21,2597
2015-06-22,2219
2015-06-23,2013
2015-06-24,2051
2015-06-25,2021
2015-06-26,2258
2015-06-27,2629
2015-06-28,2596
2015-06-29,2010
2015-06-30,1908
2015-07-01,2222
2015-07-02,2471
2015-07-03,3252
2015-07-04,2712
2015-07-05,2821
2015-07-06,2728
2015-07-07,2845
2015-07-08,2171
2015-07-09,2467
2015-07-10,2710
2015-07-11,3014
2015-07-12,3507
2015-07-13,3080
2015-07-14,2338
2015-07-15,2513
2015-07-16,2471
2015-07-17,2799
2015-07-18,3333
2015-07-19,3097
2015-07-20,2453
2015-07-21,2006
2015-07-22,2073
2015-07-23,2303
2015-07-24,2586
2015-07-25,2919
2015-07-26,3025
2015-07-27,2396
2015-07-28,2275
2015-07-29,2102
2015-07-30,2160
2015-07-31,2738
2015-08-01,3294
2015-08-02,3208
2015-08-03,2957
2015-08-04,2341
2015-08-05,2714
2015-08-06,2602
2015-08-07,2943
2015-08-08,3233
2015-08-09,3603
2015-08-10,2295
2015-08-11,2415
2015-08-12,2404
2015-08-13,2656
2015-08-14,2737
2015-08-15,3097
2015-08-16,3161
2015-08-17,2433
2015-08-18,2119
2015-08-19,1969
2015-08-20,1989
2015-08-21,2200
2015-08-22,2756
2015-08-23,3182
2015-08-24,2604
2015-08-25,1732
2015-08-26,1986
2015-08-27,1838
2015-08-28,2060
2015-08-29,2584
2015-08-30,2962
2015-08-31,2044
2015-09-01,2255
2015-09-02,2037
2015-09-03,2225
2015-09-04,2143
2015-09-05,2822
2015-09-06,2795
2015-09-07,3375
2015-09-08,2223
2015-09-09,2079
2015-09-10,1967
2015-09-11,2305
2015-09-12,3344
2015-09-13,3515
2015-09-14,2413
2015-09-15,2318
2015-09-16,2111
2015-09-17,2107
2015-09-18,2502
2015-09-19,2920
2015-09-20,3401
2015-09-21,2210
2015-09-22,2131
2015-09-23,2292
2015-09-24,2071
2015-09-25,2397
2015-09-26,2985
2015-09-27,3009
2015-09-28,2305
2015-09-29,1805
2015-09-30,1882
2015-10-01,2592
2015-10-02,2613
2015-10-03,3318
2015-10-04,3372
2015-10-05,2689
2015-10-06,2566
2015-10-07,2352
2015-10-08,2369
2015-10-09,2699
2015-10-10,2751
2015-10-11,3244
2015-10-12,2640
2015-10-13,2437
2015-10-14,2108
2015-10-15,2214
2015-10-16,2368
2015-10-17,2842
2015-10-18,3073
2015-10-19,2477
2015-10-20,2180
2015-10-21,2019
2015-10-22,2106
2015-10-23,2690
2015-10-24,2816
2015-10-25,2462
2015-10-26,2328
2015-10-27,1982
2015-10-28,1966
2015-10-29,2081
2015-10-30,2367
2015-10-31,2087
2015-11-01,2903
2015-11-02,2136
2015-11-03,2147
2015-11-04,1771
2015-11-05,2104
2015-11-06,2396
2015-11-07,3269
2015-11-08,2826
2015-11-09,2433
2015-11-10,2180
2015-11-11,1977
2015-11-12,2008
2015-11-13,2324
2015-11-14,2734
2015-11-15,3213
2015-11-16,2439
2015-11-17,1720
2015-11-18,2061
2015-11-19,2127
2015-11-20,2095
2015-11-21,2708
2015-11-22,2757
2015-11-23,2207
2015-11-24,2258
2015-11-25,3014
2015-11-26,2031
2015-11-27,1845
2015-11-28,2139
2015-11-29,2234
2015-11-30,2020
2015-12-01,2154
2015-12-02,1719
2015-12-03,1880
2015-12-04,1826
2015-12-05,2508
2015-12-06,2921
2015-12-07,2351
2015-12-08,1915
2015-12-09,1978
2015-12-10,1863
2015-12-11,2191
2015-12-12,2730
2015-12-13,2887
2015-12-14,2651
2015-12-15,2540
2015-12-16,2210
2015-12-17,2317
2015-12-18,2145
2015-12-19,2510
2015-12-20,2840
2015-12-21,2259
2015-12-22,2147
2015-12-23,2443
2015-12-24,2795
2015-12-25,0
2015-12-26,2311
2015-12-27,2179
2015-12-28,1987
2015-12-29,1894
2015-12-30,1943
2015-12-31,2533
